# Logfile created on 2020-01-15 03:34:49 +0000 by logger.rb/56438
[2020-01-15T03:34:50+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2020-01-15T03:34:50+00:00] INFO: *** Chef 13.6.4 ***
[2020-01-15T03:34:50+00:00] INFO: Platform: x86_64-linux
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/node-exporter.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-monitor.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgres-exporter.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap_disable.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-monitor_disable.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_disable.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_user.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis-exporter_disable.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx_disable.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remove_accounts.rb in the cache.
[2020-01-15T03:34:52+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgres-exporter_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/show_config.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/node-exporter_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_folders_and_configs.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/web-server.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/README.md in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/aws.yml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/database.yml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-healthcheck-rc.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-monitor.yml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-rc.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis-exporter.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/users.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate-service.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn_disable.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/make_metrics_rundir.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/mount_point_check.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/selinux.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-pages-http.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-registry-http.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-mattermost-http.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/postgres-queries.yaml in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab.yml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/redis.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/resque.yml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/metadata.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secrets.yml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig-system.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-monitor-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-shell-config.yml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-monitor-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-http.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-error.html.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-run.erb in the cache.
